"shapeid","x","y"

"2.0","10.6400723026449","63.4433434204864"

"2.0","10.640066796721001","63.4433400158522"

"2.0","10.6400466078995","63.4433393994581"

"2.0","10.640028481538799","63.443339745067895"

"2.0","10.6400040814108","63.443339089993195"

"2.0","10.639993959658499","63.443340938644596"

"2.0","10.639987208758699","63.4433430700214"

"2.0","10.6399764190156","63.443349303555"

"2.0","10.6399524314844","63.443368349966796"

"2.0","10.639947838299799","63.4433747726928"

"2.0","10.6399440354745","63.4433839166594"

"2.0","10.6399308652625","63.4433886390508"

"2.0","10.6399132748083","63.44339205773309"

"2.0","10.6399042837008","63.44340625769959"

"2.0","10.639900267672699","63.4434075735386"

"2.0","10.639890804690799","63.443407734128"

"2.0","10.6398701388521","63.4434062940126"

"2.0","10.6398633379988","63.4434074349186"

"2.0","10.6398528617597","63.443411610232296"

"2.0","10.639846892156001","63.443415203916594"

"2.0","10.639842607892799","63.443420916842896"

"2.0","10.639834666653002","63.4434242705197"

"2.0","10.639815168093198","63.4434283501598"

"2.0","10.639803174518299","63.4434319397192"

"2.0","10.6397782967884","63.4434423281745"

"2.0","10.6397743124357","63.443446072376005"

"2.0","10.639769219379499","63.4434544577151"

"2.0","10.6397638267672","63.4434569002663"

"2.0","10.639750197761499","63.4434593610426"

"2.0","10.6397432469256","63.443461486304"

"2.0","10.6397373181973","63.4434648115214"

"2.0","10.639736323163199","63.443467388345496"

"2.0","10.639778509195","63.4434659793211"

"2.0","10.6398479849181","63.443462077083296"

"2.0","10.6399072980937","63.4434563361634"

"2.0","10.639931870778598","63.4434611320885"

"2.0","10.639943568868699","63.443462118582396"

"2.0","10.6399540585843","63.4434618095301"

"2.0","10.6399774232227","63.443457398391594"

"2.0","10.640003822352","63.4434581145015"

"2.0","10.6400234887847","63.443459524083096"

"2.0","10.6400418014791","63.4434592740649"

"2.0","10.6400493792277","63.4434569881227"

"2.0","10.6400522913411","63.44345500925"

"2.0","10.6400533773267","63.44344919867039"

"2.0","10.6400707040505","63.4434527844018"

"2.0","10.6401031590017","63.4434519772162"

"2.0","10.6401472124378","63.443442264060195"

"2.0","10.640177346160199","63.4434342836027"

"2.0","10.6401889717611","63.4434291544168"

"2.0","10.6401968403441","63.44342364081601"

"2.0","10.6401952826331","63.4434075005096"

"2.0","10.640196313932499","63.443406003633896"

"2.0","10.6402258703638","63.4434070858084"

"2.0","10.640235346976098","63.4434068357093"

"2.0","10.640242120551799","63.4434058737603"

"2.0","10.640252010695301","63.443401590622294"

"2.0","10.6402625641983","63.443394271013"

"3.0","10.641430272817","63.4435238654996"

"3.0","10.641449993215799","63.4434655805824"

"3.0","10.641448966418","63.443457817539006"

"3.0","10.6414465585875","63.4434525296432"

"3.0","10.641447030902599","63.4434388787217"

"3.0","10.6414383581605","63.443418026105796"

"3.0","10.6414266325675","63.443397439924894"

"3.0","10.6414212264361","63.4433960162705"

"3.0","10.6414090740255","63.44339537564569"

"3.0","10.6414031364809","63.4434053535203"

"3.0","10.641400283583199","63.443413537569796"

